"","Ammodytes_marinus","Anguilla_anguilla","Aphia_minuta","Belone_belone","Buglossidium_luteum","Ciliata_mustela","Clupea_harengus","Crystallogobius_linearis","Ctenolabrus_rupestris","Cyclopterus_lumpus","Enchelyopus_cimbrius","Engraulis_encrasicolus","Gadiculus_argenteus","Gadus_morhua","Gasterosteus_aculeatus","Glyptocephalus_cynoglossus","Gobius_niger","Gobiusculus_flavescens","Gymnocephalus_cernua","Hippoglossoides_platessoides","Labrus_bergylta","Lesueurigobius_friesii","Limanda_limanda","Liparis_montagui","Melanogrammus_aeglefinus","Merlangius_merlangus","Myoxocephalus_scorpius","Oncorhynchus_gorbuscha","Osmerus_eperlanus","Perca_fluviatilis","Pholis_gunnellus","Phrynorhombus_norvegicus","Platichthys_flesus","Pleuronectes_platessa","Pollachius_pollachius","Pollachius_virens","Pomatoschistus_microps","Pomatoschistus_minutus","Pomatoschistus_pictus","Raniceps_raninus","Salmo_salar","Salmo_trutta","Sardina_pilchardus","Scomber_scombrus","Scophthalmus_maximus","Scophthalmus_rhombus","Solea_solea","Spinachia_spinachia","Sprattus_sprattus","Symphodus_melops","Syngnathus_acus","Syngnathus_rostellatus","Syngnathus_typhle","Taurulus_bubalis","Thunnus_alalunga","Trachinus_draco","Trisopterus_minutus","Zeugopterus_punctatus"
"1",0,0,276,0,0,0,0,229,594,0,0,0,0,0,0,0,297,518,0,0,0,0,312,0,0,0,0,0,0,0,0,0,563,0,0,0,0,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,478,0,0,49,0,0,0,0,57,920,0,0,0,0,46,0,0,0,0,0,0,0,0,0,330,64,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,318,48,0,0,0,0,15494,0,71,0,0,0,0,0,103,136,0,0,0,0,0,0,40,3380,26,0,0,0,82,0,0,0,0,0,0,0,0,41,0,0,0,2109,0,330,111,0,446,1386,0,0,0,33,0,0,0,0
"101",0,0,24,38,0,0,0,0,5391,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,0,0,0,352,0,0,0,0,60,425,0,0,0,57,0,0,0,0
"102",71,0,161,0,33,0,0,0,9618,0,39,31,0,0,0,0,448,317,0,0,0,0,0,0,281,592,44,0,0,0,86,0,0,0,0,0,79,89,142,0,0,0,0,5155,143,0,75,0,383,215,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
"104",0,0,0,74,0,0,0,0,10763,0,0,0,0,0,0,0,0,114,0,0,141,0,0,0,0,287,23,0,0,0,69,0,0,0,0,0,0,0,0,20,0,0,0,1346,0,0,0,0,40,1793,0,0,0,229,0,0,0,36
"105",24,0,83,44,49,44,0,93,4246,0,28,0,0,0,0,0,41,71,0,0,0,0,0,181,33,732,0,0,0,0,70,0,0,0,0,0,0,27,49,21,0,0,0,7966,93,0,25,0,449,174,0,0,0,54,0,0,0,0
"106",0,0,0,0,0,52,0,0,1021,0,0,0,0,20,0,0,0,517,0,23,204,0,0,42,0,0,0,0,0,0,99,22,0,0,0,0,3455,0,0,0,0,0,0,114,0,0,0,631,0,3195,0,0,0,62,0,5318,0,0
"108",0,0,0,33,0,0,0,0,135,0,0,0,0,0,0,46,0,0,28,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,3608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",226,0,85,0,0,0,0,0,2667,64,0,0,0,164,0,0,230,3948,0,0,94,0,0,0,0,0,230,0,0,0,609,0,138,211,0,50,0,310,864,0,0,26,0,61,91,47,33,0,242,906,0,0,0,0,0,0,0,0
"110",0,190,158,0,0,0,0,0,415,0,0,202,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",648,0,107,346,0,0,31,0,0,0,0,0,0,0,336,85,121,614,0,0,0,0,0,0,0,0,118,0,0,0,0,0,71,101,0,138,0,61,469,0,0,0,0,42,0,0,0,37,0,406,0,0,0,54,0,0,0,0
"113",0,0,0,0,0,0,0,0,1256,0,0,0,0,145,0,0,112,811,0,0,0,0,0,0,0,0,0,0,0,0,99,0,90,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0,23,0,0,0,53,0,0,6499,0,0,0,0,0,0,0,0,0,0,437,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,77,0,0,0,0,0,2712,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,164,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,158
"121",0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,48,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0
"13",0,0,917,0,0,0,0,0,3184,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,2220,0,0,3930,413,424,0,0,0,0,355,55,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0,0,60,0,80,0,42,95,0,0,0,0,0,0,0,58,0,0,156,150,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"139",0,0,120,0,0,0,0,0,400,0,0,0,0,53,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,339,79,0,0,0,0,536,0,0,90,0,41,260,0,0,0,159,0,0,0,0
"14",0,0,192,0,0,0,0,0,2614,0,0,0,0,0,0,0,492,537,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,71,25,0,0,0,1186,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,457,0,17421,0,0,0,0,129,26,0,0,1166,0,0,41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,30,0,156,198,31,0,0,0,81,0,0,0,46,87,87,0,0,0,94,0,0,0,0
"141",0,0,0,0,0,0,576,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,607,0,0,0,0,0,163,0,137,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
"169",0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,107,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
"171",0,0,25,0,0,68,0,0,1151,0,22,0,0,62,46,32,22,252,0,74,22,0,0,0,0,0,84,0,0,0,0,0,174,123,0,32,456,66,526,0,0,0,0,619,89,0,0,0,0,502,0,0,0,127,0,0,0,0
"178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,286,0,0,0,124,0,0,0,0
"18",0,0,0,0,0,0,0,0,117,0,0,0,0,68,145,0,50,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",0,0,0,0,0,0,290,0,0,666,0,0,0,0,0,0,0,3546,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2490,0,0,0,0,0,0,0,0
"193",0,0,60,0,0,0,0,0,502,0,0,0,0,0,90,0,88,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",0,0,22,143,0,0,0,0,0,0,0,0,0,60,0,0,0,966,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,169,0,60,0,0,0,0,0,361,0,0,0,0,0,0,0,0
"203",0,0,81,79,0,0,0,0,422,0,0,0,0,0,0,0,0,2121,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,347,296,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0
"205",0,31,53,0,0,0,0,0,369,0,0,22,0,223,27,0,160,1299,0,31,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,66,387,0,0,24,0,68,0,0,0,0,0,103,23,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,430,0,51,125,0,0,361,0,66,4993,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0,957,0,0,0,0,0,634,0,0,0,0,0,0,0,0
"23",0,0,216,0,0,0,0,0,210,0,71,0,0,0,0,0,211,1103,0,0,0,0,128,0,0,0,0,0,0,0,210,0,386,51,0,0,2570,1340,2007,0,0,0,0,59,0,0,0,0,0,544,0,0,0,0,0,0,0,0
"24",0,0,0,185,0,0,58,0,0,0,0,0,0,0,0,0,0,61,0,0,0,182,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,131,189,24,0,0,0,0,854,0,0,58,0,0,0,0,201,1213,0,0,0,0,168,0,0,0,60,0,0,0,0,0,0,0,0,152,1069,147,4192,0,0,0,0,244,602,0,0,0,0,2860,0,0,0,0,0,0,0,0
"41",0,0,0,154,0,0,0,0,115,0,0,32,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,80,0,0,0,0,0,26,0,0,0,0,0,0,0,20,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,176,0,0,0,0,0,0,0,0,0,30,90,0,0,24,0,0,0,0,0
"46",0,0,173,0,0,0,0,0,38,0,0,135,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,241,0,0,0,0,0,4968,0,0,570,34,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,36,0,48,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"49",0,0,60,0,0,0,0,0,0,0,0,77,0,0,775,0,83,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,223,0,0,153,0,501,91,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,0,221,0,0,0,0,0,111,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,52,0,0,0,0,0,0,0,47,0,0,173,0,0,0,0,0,0,154,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,56,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,532,0,0,23,0,19419,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"74",0,29,81,0,0,0,48,0,0,0,0,0,0,0,75,0,327,549,0,0,36,0,0,0,0,361,1050,0,0,0,0,105,401,2986,0,0,7629,3075,0,83,0,0,0,0,0,0,0,70,0,344,0,0,0,0,0,0,0,0
"75",0,0,0,35,0,0,0,0,103,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,65,0,0,0,0,0,1006,0,0,753,0,104,0,0,69,1549,0,0,42,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,79,0,0,28,0,0,0,0,0,0,0,552,0,0,87,613,0,0,0,0
"77",0,0,0,0,0,0,0,0,195,0,0,3873,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3912,0,0,0,0,0,0,0,0
"78",0,117,158,144,0,0,0,0,4766,0,0,124,0,176,0,0,31,144,0,0,0,133,0,0,0,139,153,0,0,0,0,0,275,170,0,0,0,0,0,0,0,193,0,118,0,0,0,0,20,71,0,0,0,69,0,0,0,0
"79",0,0,0,0,0,0,0,0,8094,0,0,938,0,381,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,163,0,101,0,0,0,96,0,778,0,388,0,0,0,334,0,0,0,0,0,0,0,252
"8",0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,226,0,0,618,0,0,0,0,0,0,0,0,0,170,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0
"80",0,342,106,0,0,590,0,0,2104,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,168,0,333,0,0,0,129,0,0,0,0,125,0,0,0,81,0,0,0,0,0,0,0,0,0,1082,0,0,0,108,0,0,0,0
"81",0,82,0,21,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1427,0,0,0,0,0,0,0,0
"82",0,0,505,74,0,0,0,0,51,0,0,0,0,0,0,0,65,156,0,0,42,0,0,0,0,563,0,0,0,0,0,0,0,0,0,282,173,0,0,0,0,0,0,443,0,0,0,0,92,326,0,0,0,0,0,0,0,0
"83",86,139,0,50,0,0,0,0,2191,0,0,0,0,0,0,0,0,543,0,0,70,0,0,0,0,114,0,0,0,0,2857,0,70,81,0,0,0,100,0,0,0,0,0,0,0,0,0,0,322,2667,0,0,0,60,0,0,0,0
"84",107,56,0,0,0,0,0,0,652,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,182,0,0,0,0,0,0,190,0,0,0,0,924,0,0,0,0,0,0,0,0
"87",0,47,0,0,0,0,0,0,609,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,67,0,0,0,0,0,0,0,0,0,0,210,0,0,88,0,0,763,0,0,0,307,0,0,0,0
"88",0,0,0,0,0,38,0,0,2631,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,600,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,185,90,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0
"90",0,42,126,49,0,238,0,0,10047,0,0,0,0,136,0,0,155,992,0,0,26,0,0,199,0,45,76,0,0,0,344,0,0,0,0,41,0,86,76,22,0,601,0,0,0,0,0,0,32,1865,0,0,0,49,0,0,0,0
"91",0,0,0,169,0,90,0,0,862,0,0,25,0,38,0,0,0,0,0,49,0,0,0,0,0,0,114,0,0,0,369,0,0,66,0,262,0,0,0,0,0,0,0,163,0,64,0,0,0,1638,0,0,0,102,0,0,0,0
"92",0,26,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,1365,0,0,0,0
"93",0,0,0,181,0,52,0,0,3565,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,100,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,161,0,0,0,34,0,0,0,42
"94",0,0,0,77,42,24,0,0,2714,0,48,0,0,0,0,0,0,128,0,0,169,39,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3604,0,0,0,0,224,885,0,0,0,127,0,0,0,0
"95",0,0,0,0,0,31,0,0,5877,0,0,0,0,0,0,0,0,0,0,0,219,0,0,62,0,891,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,715,42,0,77,0,75,1773,0,0,0,0,0,0,0,0
"96",132,0,130,206,0,132,124,0,7906,0,28,27,0,34,0,0,0,38,0,0,0,0,0,33,0,0,225,0,0,0,61,0,210,79,0,0,0,0,0,0,0,0,0,5888,0,0,52,0,0,178,0,34,0,0,0,0,0,0
"97",0,0,40,33,0,0,103,0,5538,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2082,0,0,0,59,0,0,0,0,0,0,5372,53,102,0,0,23,31,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,20,0,52,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
