;Abramis_brama;Ammodytes_marinus;Anguilla_anguilla;Aphia_minuta;Belone_belone;Buglossidium_luteum;Callionymus_lyra;Callionymus_maculatus;Ciliata_mustela;Ciliata_septentrionalis;Clupea_harengus;Crystallogobius_linearis;Ctenolabrus_rupestris;Cyclopterus_lumpus;Enchelyopus_cimbrius;Engraulis_encrasicolus;Entelurus_aequoreus;Eutrigla_gurnardus;Gadiculus_argenteus;Gadus_morhua;Gasterosteus_aculeatus;Glyptocephalus_cynoglossus;Gobius_niger;Gobiusculus_flavescens;Gymnocephalus_cernua;Hippoglossoides_platessoides;Labrus_bergylta;Labrus_mixtus;Lesueurigobius_friesii;Limanda_limanda;Liparis_montagui;Melanogrammus_aeglefinus;Merlangius_merlangus;Myoxocephalus_scorpius;no identification;Oncorhynchus_gorbuscha;Osmerus_eperlanus;Perca_fluviatilis;Pholis_gunnellus;Phrynorhombus_norvegicus;Platichthys_flesus;Pleuronectes_platessa;Pollachius_pollachius;Pollachius_virens;Pomatoschistus_microps;Pomatoschistus_minutus;Pomatoschistus_pictus;Raniceps_raninus;Salmo_salar;Salmo_trutta;Sardina_pilchardus;Scomber_scombrus;Scophthalmus_maximus;Scophthalmus_rhombus;Scyliorhinus_canicula;Solea_solea;Spinachia_spinachia;Sprattus_sprattus;Symphodus_melops;Syngnathus_acus;Syngnathus_rostellatus;Syngnathus_typhle;Taurulus_bubalis;Thunnus_alalunga;Trachinus_draco;Trisopterus_minutus;Zeugopterus_punctatus;;
187_S86_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;37;6;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19_S14_L001_R1_001.fastq.gz;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;23;0;0;0;0;0;17;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
190_S87_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;863;0;0;0;0;0;0;0;0;0;0;558;0;0;0;122;0;0;0;0;0;0;0;0;0;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
192_S88_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;272;0;0;643;0;0;0;0;0;0;0;0;10;3488;0;0;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2427;0;0;0;0;0;0;0;0;;
193_S89_L001_R1_001.fastq.gz;0;0;0;58;0;0;0;0;0;0;0;0;490;0;0;0;0;0;0;0;88;0;78;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
194_S90_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
201_S91_L001_R1_001.fastq.gz;0;0;0;22;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;6;963;0;0;0;0;0;0;0;0;189;0;247;0;0;0;0;0;0;0;0;0;0;157;0;0;0;158;0;56;0;0;0;0;0;0;353;0;0;0;0;0;0;0;0;;
203_S92_L001_R1_001.fastq.gz;0;0;0;80;79;0;0;0;0;0;0;0;416;0;0;0;0;0;0;0;0;0;9;2087;0;0;0;0;0;0;0;0;487;0;212;0;0;0;0;0;0;0;0;0;0;324;285;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;;
205_S93_L001_R1_001.fastq.gz;0;0;30;52;0;0;0;0;0;0;0;0;363;0;0;22;0;0;0;213;27;0;140;1308;0;31;0;0;0;0;0;0;0;0;61;0;0;0;91;0;0;0;0;0;0;63;371;0;0;19;0;59;0;0;0;0;0;0;99;21;0;0;0;0;0;0;0;;
21_S15_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;426;0;50;123;0;0;0;0;352;0;57;4904;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;666;0;0;0;0;866;0;0;0;0;0;0;616;0;0;0;0;0;0;0;0;;
23_S16_L001_R1_001.fastq.gz;0;0;0;208;0;0;0;0;0;0;0;0;205;0;68;0;0;0;0;0;0;0;180;1056;0;0;0;0;0;119;0;0;0;0;0;0;0;0;199;0;373;49;0;0;2380;1254;1846;0;0;2;0;44;0;0;0;0;0;0;522;0;0;0;0;0;0;0;0;;
24_S17_L001_R1_001.fastq.gz;0;0;0;0;183;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;181;0;0;0;0;163;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25_S18_L001_R1_001.fastq.gz;0;0;126;185;24;0;0;0;0;0;0;0;835;0;0;55;0;0;0;0;0;0;182;1186;0;0;0;0;0;164;0;0;0;56;49;0;0;0;0;0;0;0;0;148;1037;144;4016;0;0;0;0;221;592;0;0;0;0;0;2788;0;0;0;0;0;0;0;0;;
41_S19_L001_R1_001.fastq.gz;0;0;0;0;153;0;0;0;0;0;0;0;114;0;0;31;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;;
42_S20_L001_R1_001.fastq.gz;0;0;0;0;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
43_S21_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
44_S22_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
45_S23_L001_R1_001.fastq.gz;0;0;0;80;14;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;18;361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;44;169;0;0;0;0;0;0;0;0;0;0;29;91;0;0;22;0;0;0;0;0;;
46_S24_L001_R1_001.fastq.gz;0;0;0;170;0;0;0;0;0;0;0;0;38;0;0;132;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;34;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;12;0;0;12;0;0;0;0;0;;
47_S25_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;;
48_S26_L001_R1_001.fastq.gz;0;0;0;240;0;0;0;0;0;0;0;0;4890;0;0;528;0;0;34;11;0;0;0;191;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;192;0;0;28;0;38;0;0;0;0;0;9;0;0;0;14;13;0;0;0;0;;
49_S27_L001_R1_001.fastq.gz;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;752;0;70;276;0;0;0;0;0;0;0;0;0;0;293;0;0;0;0;0;0;0;0;0;0;428;212;0;0;132;0;434;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
50_S28_L001_R1_001.fastq.gz;0;0;0;219;0;0;0;0;0;0;0;0;111;0;0;0;0;0;0;0;0;0;0;347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;0;0;0;0;0;0;0;0;0;593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6_S2_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;5;0;0;50;0;0;0;0;0;0;0;0;0;47;0;8;165;0;0;0;0;0;0;0;152;0;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
64_S29_L001_R1_001.fastq.gz;0;0;0;10;11;0;0;0;0;0;0;0;38;0;5;0;0;0;0;0;0;0;56;146;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;18;0;507;0;0;21;0;17610;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;;
74_S30_L001_R1_001.fastq.gz;0;0;26;79;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;72;0;298;537;0;0;34;0;0;0;0;0;342;985;0;0;0;0;0;104;390;2910;0;0;7373;2944;0;81;0;0;0;0;0;0;0;0;69;0;327;0;0;0;0;0;0;0;0;;
75_S31_L001_R1_001.fastq.gz;0;0;0;0;34;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;19;361;0;0;0;0;0;0;0;0;0;0;810;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
76_S32_L001_R1_001.fastq.gz;0;0;0;65;0;0;0;0;0;0;0;0;999;0;0;738;0;0;0;101;0;0;45;1517;0;0;40;0;0;0;0;0;0;0;746;0;0;0;29;0;0;0;0;0;0;0;77;0;0;26;0;0;0;0;0;0;0;0;534;0;0;82;498;0;0;0;0;;
77_S33_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;3824;0;0;0;0;0;0;349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3825;0;0;0;0;0;0;0;0;;
78_S34_L001_R1_001.fastq.gz;0;0;115;158;143;0;0;0;0;0;0;0;4704;0;0;122;0;0;0;171;0;0;31;142;0;0;0;0;133;0;0;0;136;147;212;0;0;0;0;0;275;167;0;0;0;0;0;0;0;163;0;106;0;0;11;0;0;0;69;0;0;0;64;0;0;0;0;;
79_S35_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;7949;0;0;926;0;0;0;366;0;0;4;0;0;103;0;0;0;0;0;0;0;0;274;0;0;0;163;0;0;0;0;157;0;101;0;0;0;87;0;682;0;377;0;0;0;0;322;0;0;0;0;0;0;0;240;;
8_S3_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;222;0;0;0;604;0;0;0;0;0;0;0;0;0;0;167;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;;
80_S36_L001_R1_001.fastq.gz;0;0;330;105;0;0;0;0;527;0;8;0;2073;0;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;0;167;0;318;0;0;0;0;125;0;0;0;0;119;0;0;0;78;0;0;0;0;0;0;0;0;0;0;1069;0;0;0;107;0;0;0;0;;
81_S37_L001_R1_001.fastq.gz;0;0;78;13;21;0;0;0;0;0;0;0;706;0;0;5;0;0;0;0;0;0;0;7;0;13;0;0;0;0;0;0;0;40;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;20;0;0;0;0;0;0;1390;0;0;0;0;0;0;0;0;;
82_S38_L001_R1_001.fastq.gz;0;0;0;497;73;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;56;153;0;0;42;0;0;0;0;0;544;0;0;0;0;0;0;0;0;0;0;269;169;0;0;0;0;0;0;393;0;0;0;0;0;81;318;0;0;0;0;0;0;0;0;;
83_S39_L001_R1_001.fastq.gz;0;83;133;0;49;0;0;0;0;0;0;0;2166;0;0;0;0;0;0;0;0;0;11;534;0;0;68;0;0;0;0;0;111;0;492;0;0;0;2777;0;70;81;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;281;2601;0;0;0;57;0;0;0;0;;
84_S40_L001_R1_001.fastq.gz;0;100;53;0;0;0;0;0;0;0;0;0;646;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461;0;0;0;0;0;0;179;0;0;0;0;0;0;186;0;0;0;0;0;911;0;0;0;0;0;0;0;0;;
85_S41_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
87_S42_L001_R1_001.fastq.gz;0;0;45;0;0;0;0;0;0;0;0;0;600;0;0;31;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;434;0;0;0;386;0;63;0;0;0;0;0;0;0;0;0;0;165;0;0;0;87;0;0;705;0;0;0;268;0;0;0;0;;
88_S43_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;36;0;0;0;2563;0;0;0;0;0;0;0;0;0;0;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;580;0;0;0;0;0;0;0;0;;
89_S44_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
9_S4_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;164;83;0;0;0;0;0;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;;
90_S45_L001_R1_001.fastq.gz;0;0;39;124;51;0;0;0;220;0;0;0;9882;0;0;17;0;0;0;129;0;0;140;968;0;0;26;0;0;0;191;0;44;73;178;0;0;0;338;0;0;0;0;39;0;86;72;22;0;521;0;0;0;0;0;0;0;0;1818;0;0;0;47;0;0;0;0;;
91_S46_L001_R1_001.fastq.gz;0;0;0;0;168;0;0;0;86;0;0;0;852;0;0;25;0;0;0;36;0;0;0;0;0;47;0;0;0;0;0;0;0;108;358;0;0;0;361;0;0;65;0;250;0;0;0;0;0;0;0;147;0;62;3;0;0;0;1613;0;0;0;100;0;0;0;0;;
92_S47_L001_R1_001.fastq.gz;0;0;26;0;0;0;0;0;0;0;7;0;179;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;554;0;0;0;1300;0;0;0;0;;
93_S48_L001_R1_001.fastq.gz;0;0;0;0;180;0;0;0;42;0;0;0;3507;0;0;0;0;0;0;0;0;0;15;91;0;0;0;0;0;0;0;0;98;116;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;0;0;0;0;0;0;159;0;0;0;31;0;0;0;40;;
94_S49_L001_R1_001.fastq.gz;0;0;0;0;77;42;0;0;25;0;0;0;2660;0;47;0;0;0;0;0;0;0;4;127;0;0;167;0;39;0;0;0;61;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3176;0;0;0;11;0;129;875;0;0;0;123;0;0;0;0;;
95_S50_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;29;0;0;0;5733;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;58;0;833;0;24;0;0;0;231;0;0;0;0;0;0;0;0;18;0;0;0;594;40;0;0;74;0;53;1726;0;0;0;0;0;0;0;0;;
96_S51_L001_R1_001.fastq.gz;0;125;0;130;205;0;0;0;123;9;111;0;7740;0;29;25;0;0;0;34;0;0;7;37;0;0;0;0;0;0;33;0;0;209;17;0;0;0;60;0;208;78;0;16;0;0;0;0;0;0;0;5326;0;0;0;51;0;0;176;0;31;0;0;0;0;0;0;;
97_S52_L001_R1_001.fastq.gz;0;0;0;40;33;6;0;0;0;0;98;5;5446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;8;0;0;0;51;0;0;0;0;0;2045;0;0;0;58;9;0;0;0;0;0;4796;51;100;0;8;0;0;34;14;0;0;0;0;0;0;0;;
98_S53_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;1634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;;
99_S54_L001_R1_001.fastq.gz;0;0;0;9;0;0;0;0;0;0;0;0;931;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;11;0;0;0;57;0;0;0;0;0;10;0;0;0;0;0;0;20;0;49;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
N_S94_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
P_S95_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;4428;0;0;0;0;0;0;4286;864;0;0;0;0;2390;0;0;2268;0;0;0;0;0;376;0;0;0;0;0;4027;664;0;0;0;0;0;0;0;0;0;2165;0;0;0;0;0;0;0;0;0;0;4547;0;0;0;0;;